District,children_threats,missing_persons_threats,sll_crimes_threats,women_threats
Farrukhabad,"['Rape', 'Muder With Rape Pocso', 'Other Murder']","['female 18 to 30 years', 'male 18 to 30 years', 'female 14 to 18 years']",,"['Cruelty By Husband Or His Relatives', 'Dowry Deaths', 'Rape Girls Below 18']"
Fazilka,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Rape']","['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']",,
Firozabad,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18']"
Gadag,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped']","['female 18 to 30 years', 'female 30 to 45 years', 'female below 5 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Gadchiroli,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Rape Women Above 18']"
Gandhinagar,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']",,"['The Copy Right Act', 'Information Technology Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Ganganagar,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']","['female 30 to 45 years', 'female 45 to 60 years', 'female 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Gaurella Pendra Marwahi,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,
Gaya,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Ghazipur,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18']"
Golaghat,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']",,,
Gonda,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Dowry Deaths']"
Gyalshing,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,
Hapur,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso']",,,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Insult To The Modesty Of Women Below 18']"
Hardoi,"['Section 4 And 6 Of Pocso Act Girls', 'Rape', 'Section 8 And 10 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Hassan,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Hathras,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,,"['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Hingoli,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Motor Vehicle Act', 'Immoral Traffic Prevention']",
Hooghly,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Howrah,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['male 45 to 60 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Trade Marks Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Hyderabad,"['Child Labour', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 30 to 45 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Child Labour Prohibition Regulation', 'Information Technology Act']",
Idukki,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Protection Of Women From Domestic Violence']",
Imphal West,No major threats,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,"['Insult To The Modesty Of Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Murder With Rape Gang Rape']"
Jaipur,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Jalandhar,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Rape', 'Missing Children Deemed As Kidnapped']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,"['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Jalaun,"['Section 8 And 10 Of Pocso Act Girls', 'Other Murder', 'Rape']",,,
Jalgaon,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,"['Protection Of Children From Sexual Offence', 'City Town Police Acts', 'Motor Vehicle Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18']"
Jammu,No major threats,No major threats,"['Information Technology Act', 'Protection Of Children From Sexual Offence', 'The Copy Right Act']",No major threats
Jamnagar,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18']"
Jamtara,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Muder With Rape Pocso']","['female 14 to 18 years', 'male 14 to 18 years', 'female 5 to 14 years']",,
Jamui,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls']","['female 14 to 18 years', 'female 18 to 30 years', 'female 5 to 14 years']",,
Jayashankar Bhupalapally,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 45 to 60 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Jhajjar,"['Section 4 And 6 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Insult To The Modesty Of Women Above 18']"
Jhalawar,"['Missing Children Deemed As Kidnapped', 'Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Jhargram,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage', 'Information Technology Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Jind,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']",,
Jodhpur,"['Missing Children Deemed As Kidnapped', 'Rape', 'Section 4 And 6 Of Pocso Act Girls']","['female 30 to 45 years', 'female 18 to 30 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Junagadh,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,
Kaimur (Bhabua),"['Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Kaithal,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Kalaburagi,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Kallakurichi,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Prohibition Of Child Marriage']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Prohibition Of Child Marriage']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Kamareddy,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Kamjong,No major threats,No major threats,,
Kamrup Metro,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']","['female 14 to 18 years', 'male 18 to 30 years', 'female 18 to 30 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']",No major threats
Kangpokpi,No major threats,,,
Kangra,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Rape', 'Muder With Rape Pocso']","['female 18 to 30 years', 'female 45 to 60 years', 'female 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Kannur,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Kanpur Nagar,"['Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls']",,"['Information Technology Act', 'Protection Of Children From Sexual Offence', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18']"
Karaikal,No major threats,,,
Karauli,"['Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Prohibition Of Child Marriage']","['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,
Karimganj,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']",,
Karimnagar,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,,
Karur,"['Section 4 And 6 Of Pocso Act Girls', 'Other Murder', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'City Town Police Acts', 'Information Technology Act']",
Kathua,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Katihar,"['Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls']",,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Kendrapara,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",No major threats,,
Kendujhar,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,
Khagaria,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Khairgarh Chhuikhadan Gandai,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,
Khairthal-Tijara,"['Rape', 'Other Murder', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Kheri,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Rape']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']",
Khowai,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 30 to 45 years', 'male 30 to 45 years', 'female 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Rape Girls Below 18']"
Kishanganj,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 14 to 18 years', 'female 18 to 30 years', 'female 5 to 14 years']","['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Koderma,"['Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Information Technology Act']",
Kohima,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']","['female 14 to 18 years', 'female 5 to 14 years', 'male 14 to 18 years']",,"['Insult To The Modesty Of Women Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Kokrajhar,"['Section 4 And 6 Of Pocso Act Girls', 'Prohibition Of Child Marriage', 'Human Trafficking Children Only']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Information Technology Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Kolkata,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']","['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Insult To The Modesty Of Women Above 18']"
Kollam,"['Section 8 And 10 Of Pocso Act Girls', 'Rape', 'Section 12 Of Pocso Act Girls']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Koppal,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Prohibition Of Child Marriage']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Koraput,"['Section 4 And 6 Of Pocso Act Girls', 'Rape', 'Section 8 And 10 Of Pocso Act Girls']",,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Korba,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']","['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Kidnapping And Abduction']"
Korea,"['Missing Children Deemed As Kidnapped', 'Rape', 'Section 4 And 6 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,"['Rape Women Above 18', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Kota,"['Rape', 'Missing Children Deemed As Kidnapped', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Kozhikode,"['Section 4 And 6 Of Pocso Act Girls', 'Rape', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']",,
Kra Daadi,"['Rape', 'Muder With Rape Pocso', 'Other Murder']",,,
Kulgam,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",,,
Kupwara,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Kurukshetra,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Pre Natal Diagnostic Techniques Reg And Prev Of Misuse', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Kushi Nagar,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Rape']",,,
Lahul And Spiti,No major threats,"['female 30 to 45 years', 'female 18 to 30 years', 'male 18 to 30 years']",,
Lakhimpur,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Prohibition Of Child Marriage']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Lakhisarai,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Kidnapping And Abduction']"
Lakshadweep District,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']","['male 30 to 45 years', 'male below 5 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Latehar,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Child Labour']",,,
Latur,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Leh Ladakh,No major threats,,No major threats,
Lower Siang,"['Rape', 'Muder With Rape Pocso', 'Other Murder']",No major threats,No major threats,"['Assault On Women With Intent To Outrage Her Modesty Below 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Lucknow,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 14 to 18 years', 'male 14 to 18 years', 'female 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Rape Women Above 18']"
Ludhiana,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Child Labour Prohibition Regulation']","['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Lunglei,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Muder With Rape Pocso']",No major threats,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Murder With Rape Gang Rape']"
Madhubani,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 12 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Child Labour Prohibition Regulation']","['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Dowry Deaths']"
Madurai,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Prohibition Of Child Marriage']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Mahabubabad,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 30 to 45 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Abetment To Suicide Of Women']"
Maharajganj,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,,
Mahendragarh,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,,
Mahisagar,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Other Murder']",,,
Majuli,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Child Labour']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Child Labour Prohibition Regulation']",
Maldah,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,
Mandla,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,"['The Copy Right Act', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Mandsaur,"['Missing Children Deemed As Kidnapped', 'Rape', 'Other Murder']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Mangan,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Muder With Rape Pocso']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Mathura,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso']",,,
Mau,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Mayurbhanj,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Rape']",,,
Medinipur East,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,
Medinipur West,"['Human Trafficking Children Only', 'Other Murder', 'Muder With Rape Pocso']","['male 18 to 30 years', 'male 30 to 45 years', 'female 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage', 'Information Technology Act']",
